idDepartamento 	nombreDepartamento	
C101	Matemáticas
C115	Filología Francesa e Inglesa	
C119	Ingeniería Eléctrica
C120	Ingeniería Industrial e Ingeniería Civil
C121	Ingeniería Mecánica y diseño industrial
C128	Ciencia de los Materiales e Ingeniería Metalúrgica y Química Inorgánica
C129	Química Orgánica
C137 	Ingeniería Informática
C139	Organización de Empresas
C140	Ingeniería en Automática, Electrónica, Arquitectura y Redes de Computadores
C142	Física Aplicada
C146	Estadística e Investigación
C147	Máquinas y Motores Térmicos
C149	Tecnologías del Medio Ambiente
C151	Ingeniería Química y Tecnología de Alimentos